object_id,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
33565,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_004', 'bc_009', 'bc_040', 'bc_041', 'bc_052', 'bc_092', 'bc_093']",1.0,11.0,8.0,7.0,11.0,38.0,5
33582,919.0,bc_004-bc_041-bc_048-bc_060,"['bc_004', 'bc_041', 'bc_048', 'bc_060', 'bc_077', 'bc_093']",1.0,2.0,2.0,2.0,4.0,11.0,5
33596,360.0,bc_024,"['bc_004', 'bc_024', 'bc_040', 'bc_041', 'bc_052', 'bc_093']",1.0,4.0,7.0,2.0,4.0,18.0,5
33599,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",3.0,22.0,18.0,13.0,23.0,79.0,5
33606,41.0,bc_040-bc_048-bc_060-bc_093,"['bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",1.0,7.0,3.0,3.0,5.0,19.0,5
33629,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_093']",6.0,23.0,29.0,0.0,38.0,96.0,4
33640,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_048', 'bc_052', 'bc_093']",0.0,7.0,4.0,2.0,6.0,19.0,4
33642,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",2.0,10.0,7.0,4.0,7.0,30.0,5
33654,315.0,bc_024-bc_040-bc_092,"['bc_024', 'bc_040', 'bc_048', 'bc_060', 'bc_092', 'bc_093']",2.0,7.0,1.0,8.0,3.0,21.0,5
33669,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",4.0,6.0,8.0,6.0,5.0,29.0,5
33673,1220.0,bc_006-bc_040-bc_052-bc_093,"['bc_006', 'bc_040', 'bc_052', 'bc_093']",0.0,10.0,6.0,0.0,3.0,19.0,3
33689,132.0,bc_040-bc_092,"['bc_016', 'bc_040', 'bc_048', 'bc_092']",5.0,29.0,1.0,24.0,2.0,61.0,5
33692,165.0,bc_024-bc_048-bc_060,"['bc_024', 'bc_041', 'bc_048', 'bc_052', 'bc_060', 'bc_092']",0.0,2.0,4.0,6.0,1.0,13.0,4
33703,165.0,bc_024-bc_048-bc_060,"['bc_024', 'bc_040', 'bc_048', 'bc_060', 'bc_093']",0.0,4.0,2.0,1.0,5.0,12.0,4
33707,825.0,bc_024-bc_040-bc_048-bc_060,"['bc_024', 'bc_040', 'bc_048', 'bc_060']",2.0,16.0,2.0,2.0,1.0,23.0,5
33726,194.0,bc_040-bc_052-bc_093,"['bc_016', 'bc_040', 'bc_052']",3.0,16.0,15.0,0.0,2.0,36.0,4
33763,788.0,bc_052,['bc_052'],0.0,1.0,12.0,1.0,0.0,14.0,3
33780,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",1.0,22.0,13.0,17.0,18.0,71.0,5
33820,132.0,bc_040-bc_092,"['bc_040', 'bc_048', 'bc_092', 'bc_093']",0.0,18.0,1.0,9.0,3.0,31.0,4
33840,41.0,bc_040-bc_048-bc_060-bc_093,"['bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",0.0,7.0,4.0,9.0,13.0,33.0,4
33853,1096.0,bc_004-bc_040-bc_041-bc_048-bc_052-bc_092-bc_093,"['bc_040', 'bc_052']",0.0,5.0,8.0,1.0,1.0,15.0,4
33871,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",5.0,24.0,26.0,27.0,38.0,120.0,5
33889,825.0,bc_024-bc_040-bc_048-bc_060,"['bc_016', 'bc_040', 'bc_048', 'bc_060', 'bc_092', 'bc_093']",5.0,27.0,0.0,5.0,4.0,41.0,4
33902,125.0,bc_016-bc_040-bc_052,"['bc_016', 'bc_040', 'bc_052']",3.0,9.0,5.0,0.0,0.0,17.0,3
33911,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_093']",0.0,5.0,4.0,0.0,4.0,13.0,3
33944,3134.0,bc_027-bc_040-bc_052-bc_087,"['bc_027', 'bc_040', 'bc_052', 'bc_087']",1.0,6.0,6.0,0.0,0.0,13.0,3
