object_id,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
32621,411.0,bc_001-bc_031-bc_067-bc_087,"['bc_001', 'bc_009', 'bc_024', 'bc_031', 'bc_041', 'bc_066', 'bc_067', 'bc_077', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
32643,324.0,bc_048-bc_060,"['bc_001', 'bc_009', 'bc_048', 'bc_060', 'bc_087']",1.0,0.0,0.0,0.0,0.0,1.0,1
32657,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32662,324.0,bc_048-bc_060,"['bc_009', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32663,648.0,bc_009,"['bc_004', 'bc_009', 'bc_024', 'bc_041']",0.0,0.0,0.0,0.0,0.0,0.0,0
32671,539.0,bc_010-bc_048-bc_066,"['bc_009', 'bc_010', 'bc_041', 'bc_048', 'bc_066', 'bc_076']",0.0,0.0,0.0,0.0,0.0,0.0,0
32672,1623.0,bc_009-bc_024-bc_048-bc_060,"['bc_009', 'bc_024', 'bc_048']",0.0,1.0,0.0,0.0,2.0,3.0,2
32762,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",4.0,24.0,26.0,3.0,21.0,78.0,5
32776,196.0,bc_009-bc_048-bc_060,"['bc_009', 'bc_048', 'bc_060']",1.0,2.0,1.0,0.0,1.0,5.0,4
32783,211.0,bc_010-bc_066,"['bc_010', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
32814,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32829,165.0,bc_024-bc_048-bc_060,"['bc_048', 'bc_060']",1.0,0.0,0.0,1.0,0.0,2.0,2
32833,539.0,bc_010-bc_048-bc_066,"['bc_004', 'bc_010', 'bc_048', 'bc_060', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
32844,324.0,bc_048-bc_060,"['bc_024', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32852,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_093']",4.0,12.0,13.0,0.0,10.0,39.0,4
32917,324.0,bc_048-bc_060,"['bc_048', 'bc_060', 'bc_066']",0.0,1.0,0.0,0.0,0.0,1.0,1
32920,196.0,bc_009-bc_048-bc_060,"['bc_009', 'bc_024', 'bc_048', 'bc_060']",0.0,2.0,1.0,0.0,2.0,5.0,3
32958,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_024', 'bc_041', 'bc_048', 'bc_060', 'bc_077']",0.0,0.0,0.0,0.0,0.0,0.0,0
32970,546.0,bc_024-bc_039,"['bc_004', 'bc_024', 'bc_039', 'bc_041']",0.0,0.0,0.0,0.0,0.0,0.0,0
33031,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_060']",1.0,6.0,3.0,0.0,0.0,10.0,3
33060,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_041', 'bc_077']",0.0,0.0,1.0,1.0,0.0,2.0,2
33084,648.0,bc_009,"['bc_009', 'bc_048', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
33119,360.0,bc_024,"['bc_024', 'bc_041']",0.0,0.0,0.0,0.0,0.0,0.0,0
33125,360.0,bc_024,['bc_024'],0.0,1.0,0.0,0.0,0.0,1.0,1
33129,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
33142,196.0,bc_009-bc_048-bc_060,"['bc_009', 'bc_024', 'bc_048', 'bc_060']",0.0,0.0,2.0,0.0,1.0,3.0,2
33155,648.0,bc_009,"['bc_004', 'bc_009', 'bc_024', 'bc_041', 'bc_077']",0.0,2.0,0.0,0.0,0.0,2.0,1
